Date,Open,High,Low,Close,Adj Close,Volume
2018-09-05,47.820000,48.270000,46.910000,47.680000,47.680000,1443200
2018-09-06,47.680000,47.980000,43.869999,44.630001,44.630001,3174300
2018-09-07,44.580002,46.115002,44.520000,44.919998,44.919998,2634600
2018-09-10,45.000000,46.200001,44.599998,46.110001,46.110001,1355800
2018-09-11,46.049999,47.369999,45.939999,47.119999,47.119999,1022700
2018-09-12,47.099998,47.605999,45.680000,47.529999,47.529999,1062600
2018-09-13,47.990002,48.244999,46.310001,46.599998,46.599998,1305500
2018-09-14,46.900002,48.029999,46.230000,46.540001,46.540001,1492900
2018-09-17,46.320000,46.320000,43.970001,44.250000,44.250000,2331100
2018-09-18,44.320000,45.369999,44.200001,44.639999,44.639999,1878200
2018-09-19,44.259998,44.880001,43.349998,44.110001,44.110001,1342300
2018-09-20,44.619999,44.889999,43.500000,44.669998,44.669998,2212300
2018-09-21,45.419998,45.500000,42.540001,42.810001,42.810001,4455100
2018-09-24,42.709999,43.169998,41.749001,43.014999,43.014999,2046600
2018-09-25,43.189999,44.560001,42.910000,43.720001,43.720001,1585100
2018-09-26,43.860001,44.810001,42.240002,42.480000,42.480000,2438700
2018-09-27,42.529999,43.255001,42.500000,43.209999,43.209999,1093700
2018-09-28,43.060001,44.290001,42.759998,44.250000,44.250000,1587000
2018-10-01,44.330002,44.560001,42.099998,42.299999,42.299999,2417700
2018-10-02,42.070000,42.599998,41.985001,42.259998,42.259998,1348600
2018-10-03,42.250000,42.610001,40.810001,42.599998,42.599998,2254500
2018-10-04,42.500000,43.119999,41.250000,42.610001,42.610001,2001800
2018-10-05,42.619999,43.470001,41.060001,41.820000,41.820000,2435600
2018-10-08,41.480000,41.900002,40.279999,40.910000,40.910000,1612700
2018-10-09,40.700001,41.185001,39.310001,39.450001,39.450001,2149700
2018-10-10,39.160000,39.209999,37.349998,38.340000,38.340000,3797200
2018-10-11,38.000000,39.590000,37.860001,38.160000,38.160000,2816100
2018-10-12,39.270000,39.520000,37.970001,38.560001,38.560001,2744700
2018-10-15,38.560001,39.122002,38.000000,38.939999,38.939999,1248600
2018-10-16,39.240002,41.740002,39.020000,41.310001,41.310001,2329100
2018-10-17,41.480000,41.799999,40.290001,41.500000,41.500000,1447800
2018-10-18,41.270000,41.939999,39.709999,40.150002,40.150002,2698100
2018-10-19,40.700001,41.009998,38.840000,39.220001,39.220001,1713100
2018-10-22,39.139999,40.349998,39.110001,40.020000,40.020000,1809600
2018-10-23,39.200001,40.910000,37.810001,40.599998,40.599998,1715600
2018-10-24,40.150002,41.590000,39.000000,39.290001,39.290001,2156500
2018-10-25,39.869999,41.830002,39.610001,41.654999,41.654999,1841100
2018-10-26,40.439999,40.880001,38.130001,38.299999,38.299999,2786600
2018-10-29,39.139999,39.549999,36.520000,37.060001,37.060001,2849800
2018-10-30,37.000000,39.459999,36.810001,39.259998,39.259998,2906900
2018-10-31,40.119999,41.689999,39.790001,40.259998,40.259998,2849000
2018-11-01,40.150002,42.090000,40.130001,41.939999,41.939999,2253400
2018-11-02,41.410000,42.849998,41.130001,41.580002,41.580002,2125100
2018-11-05,41.240002,41.244999,39.110001,40.450001,40.450001,2823500
2018-11-06,40.740002,41.930000,40.430000,41.040001,41.040001,4032200
2018-11-07,32.759998,33.000000,29.980000,29.990000,29.990000,21847300
2018-11-08,30.120001,30.920000,29.000000,29.410000,29.410000,10523900
2018-11-09,28.980000,30.820000,28.850000,30.250000,30.250000,4361100
2018-11-12,30.150000,31.740000,29.879999,31.040001,31.040001,4796900
2018-11-13,31.389999,31.889999,30.440001,30.459999,30.459999,3194200
2018-11-14,30.809999,31.031000,28.360001,28.410000,28.410000,4254800
2018-11-15,28.490000,28.639999,27.000000,28.049999,28.049999,5033600
2018-11-16,28.049999,29.275000,27.660000,28.910000,28.910000,2758800
2018-11-19,28.740000,29.049999,27.059999,27.160000,27.160000,3674500
2018-11-20,26.570000,28.400000,26.379999,28.230000,28.230000,4973300
2018-11-21,29.160000,29.799999,27.920000,29.180000,29.180000,6106100
2018-11-23,28.969999,29.719999,28.969999,29.389999,29.389999,1201100
2018-11-26,30.000000,32.959999,30.000000,32.889999,32.889999,8521600
2018-11-27,32.590000,33.900002,31.809999,33.470001,33.470001,5532900
2018-11-28,33.709999,35.330002,33.310001,35.150002,35.150002,5175000
2018-11-29,36.060001,37.200001,35.160000,36.799999,36.799999,4511500
2018-11-30,36.400002,37.470001,36.029999,36.549999,36.549999,4309200
2018-12-03,37.549999,37.750000,35.549999,37.020000,37.020000,3365200
2018-12-04,36.570000,37.500000,35.180000,35.840000,35.840000,2684500
2018-12-06,35.480000,37.040001,34.169998,37.020000,37.020000,3326400
2018-12-07,36.799999,37.997002,35.340000,36.099998,36.099998,2966400
2018-12-10,36.049999,37.450001,35.549999,36.099998,36.099998,2620300
2018-12-11,36.830002,37.320000,35.930000,36.009998,36.009998,1892900
2018-12-12,36.639999,37.230999,34.959999,35.029999,35.029999,3001900
